1716813785.215257, start program
1716813793.099987, after load data
1716813794.586877, Start training
1716813802.405072, Epoch 2.0 ended. Steps: 24
1716813803.687613, Evaluate
1716813805.362183, Epoch 2.0. Saved. Steps: 24
1716813812.756550, Epoch 3.0 ended. Steps: 36
1716813814.101814, Evaluate
1716813815.799013, Epoch 3.0. Saved. Steps: 36
1716813823.208147, Epoch 4.0 ended. Steps: 48
1716813824.455274, Evaluate
1716813826.131199, Epoch 4.0. Saved. Steps: 48
1716813833.557809, Epoch 5.0 ended. Steps: 60
1716813834.769519, Evaluate
1716813836.499885, Epoch 5.0. Saved. Steps: 60
1716813836.500721, End training
1716813838.186951, Evaluate
