1720912286.615342, start program
1720912294.819674, after load data
1720912301.147492, Start training
1720912309.281196, Epoch 3.0 ended. Steps: 36
1720912310.816596, Evaluate
1720912313.420173, Epoch 3.0. Saved. Steps: 36
1720912320.900459, Epoch 4.0 ended. Steps: 48
1720912322.376922, Evaluate
1720912324.979983, Epoch 4.0. Saved. Steps: 48
1720912332.478549, Epoch 5.0 ended. Steps: 60
1720912333.959587, Evaluate
1720912336.515275, Epoch 5.0. Saved. Steps: 60
1720912336.516431, End training
1720912338.122714, Evaluate
1720912338.123060, Exit
