1720480127.141943, start program
1720480134.622949, after load data
1720480136.716133, Start training
1720480144.849644, Epoch 2.0 ended. Steps: 24
1720480146.364643, Evaluate
1720480148.921985, Epoch 2.0. Saved. Steps: 24
1720480156.437230, Epoch 3.0 ended. Steps: 36
1720480157.991113, Evaluate
1720480160.573744, Epoch 3.0. Saved. Steps: 36
1720480168.061786, Epoch 4.0 ended. Steps: 48
1720480169.589596, Evaluate
1720480172.143775, Epoch 4.0. Saved. Steps: 48
1720480179.614290, Epoch 5.0 ended. Steps: 60
1720480181.051305, Evaluate
1720480183.603933, Epoch 5.0. Saved. Steps: 60
1720480183.605159, End training
1720480185.209219, Evaluate
1720480185.209569, Exit
