1720897541.577293, start program
1720897548.341294, after load data
1720897554.775953, Start training
1720897562.906515, Epoch 3.0 ended. Steps: 36
1720897564.139889, Evaluate
1720897566.709620, Epoch 3.0. Saved. Steps: 36
1720897574.235302, Epoch 4.0 ended. Steps: 48
1720897575.469012, Evaluate
1720897578.044239, Epoch 4.0. Saved. Steps: 48
1720897585.515676, Epoch 5.0 ended. Steps: 60
1720897587.025465, Evaluate
1720897589.619043, Epoch 5.0. Saved. Steps: 60
1720897589.620340, End training
1720897591.230041, Evaluate
1720897591.230512, Exit
