1720917647.437438, start program
1720917655.327720, after load data
1720917661.672035, Start training
1720917669.810565, Epoch 2.0 ended. Steps: 24
1720917671.239843, Evaluate
1720917673.883969, Epoch 2.0. Saved. Steps: 24
1720917681.354606, Epoch 3.0 ended. Steps: 36
1720917683.052190, Evaluate
1720917685.686160, Epoch 3.0. Saved. Steps: 36
1720917693.148397, Epoch 4.0 ended. Steps: 48
1720917694.787435, Evaluate
1720917697.392975, Epoch 4.0. Saved. Steps: 48
1720917704.863851, Epoch 5.0 ended. Steps: 60
1720917706.675992, Evaluate
1720917709.301301, Epoch 5.0. Saved. Steps: 60
1720917709.302487, End training
1720917711.037201, Evaluate
1720917711.037533, Exit
