1720898355.409748, start program
1720898362.269355, after load data
1720898369.190718, Start training
1720898377.758077, Epoch 2.0 ended. Steps: 24
1720898379.491014, Evaluate
1720898382.101047, Epoch 2.0. Saved. Steps: 24
1720898389.879874, Epoch 3.0 ended. Steps: 36
1720898391.399083, Evaluate
1720898394.061161, Epoch 3.0. Saved. Steps: 36
1720898401.887010, Epoch 4.0 ended. Steps: 48
1720898403.153313, Evaluate
1720898405.817668, Epoch 4.0. Saved. Steps: 48
1720898413.624917, Epoch 5.0 ended. Steps: 60
1720898415.144194, Evaluate
1720898417.757052, Epoch 5.0. Saved. Steps: 60
1720898417.758357, End training
1720898419.261067, Evaluate
1720898419.261454, Exit
