1720914721.069068, start program
1720914727.789954, after load data
1720914734.062289, Start training
1720914742.173052, Epoch 3.0 ended. Steps: 36
1720914743.853315, Evaluate
1720914746.455568, Epoch 3.0. Saved. Steps: 36
1720914753.955038, Epoch 4.0 ended. Steps: 48
1720914755.401495, Evaluate
1720914757.981015, Epoch 4.0. Saved. Steps: 48
1720914765.477729, Epoch 5.0 ended. Steps: 60
1720914766.975880, Evaluate
1720914769.543704, Epoch 5.0. Saved. Steps: 60
1720914769.544869, End training
1720914771.193058, Evaluate
1720914771.193390, Exit
