1720351707.426491, start program
1720351720.443627, after load data
1720351724.116339, Start training
1720351732.028018, Epoch 1.0 ended. Steps: 12
1720351733.336146, Evaluate
1720351735.038032, Epoch 1.0. Saved. Steps: 12
1720351742.437643, Epoch 2.0 ended. Steps: 24
1720351744.071439, Evaluate
1720351745.754042, Epoch 2.0. Saved. Steps: 24
1720351753.163488, Epoch 3.0 ended. Steps: 36
1720351754.631090, Evaluate
1720351756.301409, Epoch 3.0. Saved. Steps: 36
1720351763.705766, Epoch 4.0 ended. Steps: 48
1720351765.207726, Evaluate
1720351766.931175, Epoch 4.0. Saved. Steps: 48
1720351774.379611, Epoch 5.0 ended. Steps: 60
1720351775.884409, Evaluate
1720351777.569403, Epoch 5.0. Saved. Steps: 60
1720351777.570298, End training
1720351778.946097, Evaluate
