1720351844.263382, start program
1720351856.060233, after load data
1720351859.721305, Start training
1720351867.658560, Epoch 1.0 ended. Steps: 12
1720351869.349027, Evaluate
1720351871.009210, Epoch 1.0. Saved. Steps: 12
1720351878.446245, Epoch 2.0 ended. Steps: 24
1720351879.672664, Evaluate
1720351881.346175, Epoch 2.0. Saved. Steps: 24
1720351888.783256, Epoch 3.0 ended. Steps: 36
1720351890.017646, Evaluate
1720351891.676299, Epoch 3.0. Saved. Steps: 36
1720351899.069310, Epoch 4.0 ended. Steps: 48
1720351900.372580, Evaluate
1720351902.078240, Epoch 4.0. Saved. Steps: 48
1720351909.484631, Epoch 5.0 ended. Steps: 60
1720351911.117128, Evaluate
1720351912.802353, Epoch 5.0. Saved. Steps: 60
1720351912.803208, End training
1720351914.130852, Evaluate
