1720353106.449660, start program
1720353126.389167, after load data
1720353130.029302, Start training
1720353137.979091, Epoch 1.0 ended. Steps: 12
1720353139.437136, Evaluate
1720353141.116261, Epoch 1.0. Saved. Steps: 12
1720353148.535853, Epoch 2.0 ended. Steps: 24
1720353150.063529, Evaluate
1720353151.755800, Epoch 2.0. Saved. Steps: 24
1720353159.176081, Epoch 3.0 ended. Steps: 36
1720353160.711962, Evaluate
1720353162.369097, Epoch 3.0. Saved. Steps: 36
1720353169.841408, Epoch 4.0 ended. Steps: 48
1720353171.455843, Evaluate
1720353173.176097, Epoch 4.0. Saved. Steps: 48
1720353180.625576, Epoch 5.0 ended. Steps: 60
1720353182.250730, Evaluate
1720353183.946410, Epoch 5.0. Saved. Steps: 60
1720353183.947273, End training
1720353185.571669, Evaluate
