1720356615.678789, start program
1720356627.157241, after load data
1720356630.872114, Start training
1720356638.799398, Epoch 1.0 ended. Steps: 12
1720356640.469804, Evaluate
1720356642.125129, Epoch 1.0. Saved. Steps: 12
1720356649.543902, Epoch 2.0 ended. Steps: 24
1720356650.854383, Evaluate
1720356652.520591, Epoch 2.0. Saved. Steps: 24
1720356659.884733, Epoch 3.0 ended. Steps: 36
1720356661.544487, Evaluate
1720356663.295913, Epoch 3.0. Saved. Steps: 36
1720356670.735145, Epoch 4.0 ended. Steps: 48
1720356672.402089, Evaluate
1720356674.094264, Epoch 4.0. Saved. Steps: 48
1720356681.518591, Epoch 5.0 ended. Steps: 60
1720356682.991739, Evaluate
1720356684.684849, Epoch 5.0. Saved. Steps: 60
1720356684.685753, End training
1720356685.901673, Evaluate
