1716812298.556544, start program
1716812310.663240, after load data
1716812314.519340, Start training
1716812322.358331, Epoch 1.0 ended. Steps: 12
1716812323.981713, Evaluate
1716812325.696682, Epoch 1.0. Saved. Steps: 12
1716812333.100445, Epoch 2.0 ended. Steps: 24
1716812334.517598, Evaluate
1716812336.227911, Epoch 2.0. Saved. Steps: 24
1716812343.625467, Epoch 3.0 ended. Steps: 36
1716812345.139497, Evaluate
1716812346.814522, Epoch 3.0. Saved. Steps: 36
1716812354.225069, Epoch 4.0 ended. Steps: 48
1716812355.617733, Evaluate
1716812357.326793, Epoch 4.0. Saved. Steps: 48
1716812364.728587, Epoch 5.0 ended. Steps: 60
1716812366.369288, Evaluate
1716812368.120095, Epoch 5.0. Saved. Steps: 60
1716812368.120961, End training
1716812369.324148, Evaluate
